"","X","ticker","company","sector","industry","esgRating","esgScore.tot","esgScore.env","esgScore.soc","esgScore.gov","esgRank.tot","asOf","mktCap","Price","Price.Earnings","Dividend.Yield","Earnings.Share","X52.Week.Low","X52.Week.High","Market.Cap","EBITDA","Price.Sales","Price.Book","SEC.Filings"
"81",165,"EA","Electronic Arts","Communication Services","Interactive Home Entertainment","Negligible",13,0,7,5,0.04,"2021-03-03",39352987648,116.54,34.48,0,3.07,131.01,81.27,37890226992,1.56e+09,7.4415817,8.54,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EA"
"82",166,"EMR","Emerson Electric Company","Industrials","Electrical Components & Equipment","Severe",31,9,14,8,0.6,"2021-03-03",52580630528,66.4,25.74,2.813225,2.35,74.45,56.77,44040298425,2.542e+09,3.6707752,5.01,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EMR"
"83",168,"ETR","Entergy Corp.","Utilities","Electric Utilities","Severe",35,15,14,6,0.74,"2021-03-03",17794605056,72.02,10.65,4.892126,-3.26,87.95,69.63,13116894887,880700000,1.5543115,1.54,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ETR"
"84",169,"EOG","EOG Resources","Energy","Oil & Gas Exploration & Production","Severe",39,20,11,8,0.83,"2021-03-03",37622308864,101.04,246.44,0.63339007,-1.98,119,81.99,61164030149,3692749000,8.02302,4.55,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EOG"
"85",171,"EQIX","Equinix","Real Estate","Specialized REITs","Negligible",16,5,5,5,0.1,"2021-03-03",57148723200,409.98,23.06,1.8775817,1.77,495.345,361.9,33333813618,1687152000,10.639136,5.14,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EQIX"
"86",172,"EQR","Equity Residential","Real Estate","Residential REITs","Negligible",14,5,4,5,0.06,"2021-03-03",24968421376,55.26,17.6,3.5437918,1.63,70.455,56.07,20925508143,1710686000,8.593619,2.09,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EQR"
"87",173,"ESS","Essex Property Trust, Inc.","Real Estate","Residential REITs","Negligible",16,4,5,6,0.1,"2021-03-03",17013609472,218.28,18.66,3.2138102,6.27,270.04,214.03,14383525286,1237886000,14.1830845,2.3,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ESS"
"88",178,"RE","Everest Re Group Ltd.","Financials","Reinsurance","Negligible",18,1,7,10,0.15,"2021-03-03",9672929280,241.06,27.24,2.1078234,23.71,277.17,208.81,10131892523,0,2.0991988,1.16,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=RE"
"89",181,"EXPD","Expeditors","Industrials","Air Freight & Logistics","Negligible",18,4,9,5,0.15,"2021-03-03",15995398144,60.36,25.26,1.3520038,2.36,67.54,51.96,11040678071,721643000,2.190319,5.55,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EXPD"
"90",182,"EXR","Extra Space Storage","Real Estate","Specialized REITs","Negligible",14,4,4,6,0.06,"2021-03-03",16457375744,77.56,18.12,3.879632,2.92,88.56,71.34,10133547517,717468000,12.204818,4.54,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EXR"
